slice_file_name,fsID,start,end,salience,fold,classID,class
100852-0-0-0.wav,100852,0,4,1,5,0,air_conditioner
100852-0-0-1.wav,100852,0.5,4.5,1,5,0,air_conditioner
100852-0-0-10.wav,100852,5,9,1,5,0,air_conditioner
100263-2-0-121.wav,100263,60.5,64.5,1,5,2,children_playing
100263-2-0-126.wav,100263,63,67,1,5,2,children_playing
100263-2-0-137.wav,100263,68.5,72.5,1,5,2,children_playing
72259-1-0-0.wav,72259,0,4,2,5,1,car_horn
72259-1-0-1.wav,72259,0.5,4.5,2,5,1,car_horn
72259-1-0-2.wav,72259,1,5,2,5,1,car_horn
178497-3-0-1.wav,178497,0.5,4.5,1,5,3,dog_bark
178497-3-0-3.wav,178497,1.5,5.5,1,5,3,dog_bark
178497-3-0-4.wav,178497,2,6,1,5,3,dog_bark
103199-4-0-3.wav,103199,1.5,5.5,1,3,4,drilling
103199-4-0-4.wav,103199,2,6,1,3,4,drilling
103199-4-0-5.wav,103199,2.5,6.5,1,3,4,drilling
17853-5-0-0.wav,17853,15.323533,19.323533,1,3,5,engine_idling
17853-5-0-1.wav,17853,15.823533,19.823533,1,3,5,engine_idling
17853-5-0-10.wav,17853,20.323533,24.323533,1,3,5,engine_idling
162432-6-0-0.wav,162432,0.786751,1.846456,1,5,6,gun_shot
162432-6-1-0.wav,162432,3.130947,4.222765,1,5,6,gun_shot
162432-6-10-0.wav,162432,23.907591,24.903071,1,5,6,gun_shot
165039-7-0-0.wav,165039,20.720467,24.720467,1,3,7,jackhammer
165039-7-1-0.wav,165039,28.548199,32.462065,1,3,7,jackhammer
165039-7-10-0.wav,165039,128.466896,132.466896,1,3,7,jackhammer
22601-8-0-7.wav,22601,3.5,7.5,2,3,8,siren
22601-8-0-8.wav,22601,4,8,2,3,8,siren
22601-8-0-9.wav,22601,4.5,8.5,2,3,8,siren
61791-9-1-1.wav,61791,56.032447,60.032447,1,3,9,street_music
61791-9-1-40.wav,61791,75.532447,79.532447,1,3,9,street_music
61791-9-1-41.wav,61791,76.032447,80.032447,1,3,9,street_music
